,date,title,category,url,categories,children,hate_speech,health_disinfo,political_disinfo,safety
0,2023-12-01 14:00:00+00:00,Seizing the AI opportunity in Europe,Public Policy,https://blog.google/outreach-initiatives/public-policy/seizing-the-ai-opportunity-in-europe/,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,1,0,0,0
0,2023-12-01 14:00:00+00:00,Seizing the AI opportunity in Europe,Public Policy,https://blog.google/outreach-initiatives/public-policy/seizing-the-ai-opportunity-in-europe/,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0
0,2023-12-01 14:00:00+00:00,Seizing the AI opportunity in Europe,Public Policy,https://blog.google/outreach-initiatives/public-policy/seizing-the-ai-opportunity-in-europe/,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0
0,2023-12-01 14:00:00+00:00,Seizing the AI opportunity in Europe,Public Policy,https://blog.google/outreach-initiatives/public-policy/seizing-the-ai-opportunity-in-europe/,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1
1,2023-11-17 23:00:00+00:00,Key takeaways from the Search trial,Public Policy,https://blog.google/outreach-initiatives/public-policy/key-takeaways-from-the-search-trial/,[],0,0,0,0,0
2,2023-11-14 10:00:00+00:00,An opportunity agenda for AI,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-ai-opportunity-agenda/,['safety'],0,0,0,0,1
3,2023-11-13 17:00:00+00:00,How Google is partnering to fight fraud and improve app safety,Public Policy,https://blog.google/outreach-initiatives/public-policy/how-google-is-partnering-to-fight-fraud-and-improve-app-safety/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0
3,2023-11-13 17:00:00+00:00,How Google is partnering to fight fraud and improve app safety,Public Policy,https://blog.google/outreach-initiatives/public-policy/how-google-is-partnering-to-fight-fraud-and-improve-app-safety/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0
3,2023-11-13 17:00:00+00:00,How Google is partnering to fight fraud and improve app safety,Public Policy,https://blog.google/outreach-initiatives/public-policy/how-google-is-partnering-to-fight-fraud-and-improve-app-safety/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1
4,2023-11-13 11:00:00+00:00,Taking legal action to protect users of AI and small businesses,Public Policy,https://blog.google/outreach-initiatives/public-policy/taking-legal-action-to-protect-users-of-ai-and-small-businesses/,['safety'],0,0,0,0,1
5,2023-11-10 12:00:00+00:00,Google at APEC 2023,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-at-apec-2023/,[],0,0,0,0,0
6,2023-11-02 19:00:00+00:00,Maintaining choice and opportunity on Android and Google Play,Public Policy,https://blog.google/outreach-initiatives/public-policy/maintaining-choice-and-opportunity-on-android-and-google-play/,"['health_disinfo', 'safety']",0,0,1,0,0
6,2023-11-02 19:00:00+00:00,Maintaining choice and opportunity on Android and Google Play,Public Policy,https://blog.google/outreach-initiatives/public-policy/maintaining-choice-and-opportunity-on-android-and-google-play/,"['health_disinfo', 'safety']",0,0,0,0,1
7,2023-10-26 12:00:00+00:00,Acting on our commitment to safe and secure AI,Safety & Security,https://blog.google/technology/safety-security/google-ai-security-expansion/,['safety'],0,0,0,0,1
8,2023-10-25 10:00:00+00:00,"Anthropic, Google, Microsoft and OpenAI announce Executive Director of the Frontier Model Forum and over $10 million for a new AI Safety Fund",Public Policy,https://blog.google/outreach-initiatives/public-policy/google-microsoft-anthropic-open-ai-frontier-model-forum-executive-director/,['safety'],0,0,0,0,1
9,2023-10-16 13:00:00+00:00,A policy framework to protect children and teens online,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-legislation-framework-children-teens-safety/,"['children', 'health_disinfo', 'safety']",1,0,0,0,0
9,2023-10-16 13:00:00+00:00,A policy framework to protect children and teens online,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-legislation-framework-children-teens-safety/,"['children', 'health_disinfo', 'safety']",0,0,1,0,0
9,2023-10-16 13:00:00+00:00,A policy framework to protect children and teens online,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-legislation-framework-children-teens-safety/,"['children', 'health_disinfo', 'safety']",0,0,0,0,1
10,2023-10-10 16:00:00+00:00,Update on Sonos’ misleading patent campaign,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-home-sonos-patent-update/,[],0,0,0,0,0
11,2023-09-21 22:00:00+00:00,Google at the 2023 United Nations General Assembly,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-at-the-2023-united-nations-general-assembly/,"['health_disinfo', 'safety']",0,0,1,0,0
11,2023-09-21 22:00:00+00:00,Google at the 2023 United Nations General Assembly,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-at-the-2023-united-nations-general-assembly/,"['health_disinfo', 'safety']",0,0,0,0,1
12,2023-09-08 10:00:00+00:00,People use Google because it's helpful,Public Policy,https://blog.google/outreach-initiatives/public-policy/response-us-v-google/,[],0,0,0,0,0
13,2023-09-06 11:00:00+00:00,Building for compliance with the Digital Markets Act,Public Policy,https://blog.google/outreach-initiatives/public-policy/building-for-compliance-with-the-digital-markets-act/,['safety'],0,0,0,0,1
14,2023-08-17 07:00:00+00:00,Announcing the new Transparency Center,Company announcements,https://blog.google/inside-google/company-announcements/google-transparency-center/,['safety'],0,0,0,0,1
15,2023-08-04 19:15:00+00:00,Court dismisses state AG claims about Google Search,Public Policy,https://blog.google/outreach-initiatives/public-policy/court-dismisses-state-ag-claims-about-google-search/,[],0,0,0,0,0
16,2023-07-26 10:00:00+00:00,Frontier Model Forum: A new partnership to promote responsible AI,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-microsoft-openai-anthropic-frontier-model-forum/,['safety'],0,0,0,0,1
17,2023-07-21 09:15:00+00:00,"Our commitment to advancing bold and responsible AI, together",Public Policy,https://blog.google/outreach-initiatives/public-policy/our-commitment-to-advancing-bold-and-responsible-ai-together/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0
